#{"t_start": 1647445048.053038, "env_id": null}
r,l,t
2488.565071,1,225522.419153
1918.429825,1,225551.125281
2487.006999,1,225582.037604
2564.060985,1,225614.177347
2368.074004,1,225644.397269
2447.993251,1,225675.103151
2173.652389,1,225705.620116
2445.392119,1,225736.047298
2460.359318,1,225766.284519
2358.443868,1,225796.173784
2393.728229,1,225826.695694
2469.281875,1,225857.372356
2456.342989,1,225887.493269
2369.986056,1,225917.468868
2503.121385,1,225948.002495
2688.952749,1,225978.795736
2459.836781,1,226009.128887
2724.262047,1,226038.995438
2657.853672,1,226069.482425
2633.855751,1,226099.780755
2461.575181,1,226130.106629
2729.213057,1,226160.413423
2086.030713,1,226187.049678
2527.125315,1,226216.978363
2620.463913,1,226247.703431
2540.059526,1,226278.282422
2678.924464,1,226308.901614
2394.766047,1,226338.864482
2412.724239,1,226368.985276
2481.560839,1,226399.512845
2083.397661,1,226430.316982
2560.819681,1,226460.901141
2547.003726,1,226491.44119
2510.637111,1,226521.387634
2470.33786,1,226552.12765
2653.368718,1,226582.568725
2577.811474,1,226613.13937
2828.644217,1,226644.31119
2636.718126,1,226674.914764
